# alias PD xsec nmc sumw
WGToLNuG	WGToLNuG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	489	27511845	17643995
WJets_MG	WJetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	61526.7	86916455	86916455
WJets_MG_HT-100To200	WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	1627.45	78043017	78043017
WJets_MG_HT-1200To2500	WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	1.60809	6872441	6872441
WJets_MG_HT-200To400	WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	435.237	38984322	38984322
WJets_MG_HT-2500ToInf	WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	0.0389136	2637821	2637821
WJets_MG_HT-400To600	WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	59.1811	7759701	7759701
WJets_MG_HT-600To800	WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	14.5805	18687480	18687480
WJets_MG_HT-70To100	WJetsToLNu_HT-70To100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	1637.1	10020533	10020533
WJets_MG_HT-800To1200	WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	6.65621	7830536	7830536
WWTo2L2Nu_powheg	WWTo2L2Nu_13TeV-powheg	1.	1999000	1999000
WWToLNuQQ_powheg	WWToLNuQQ_13TeV-powheg	1.	8654600	8654600
WWW	WWW_4F_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.2086	240000	210538
WWZ	WWZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.1651	250000	221468
WW_pythia	WW_TuneCUETP8M1_13TeV-pythia8	118.7	7982180	7982180
WZTo1L1Nu2Q_amcatnlo	WZTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8	1.	24311445	14109151
WZTo1L3Nu_amcatnlo	WZTo1L3Nu_13TeV_amcatnloFXFX_madspin_pythia8	1.	1703772	942046
WZTo2L2Q_amcatnlo	WZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8	1.	26517272	15879472
WZTo3LNu_powheg	WZTo3LNu_TuneCUETP8M1_13TeV-powheg-pythia8	4.42965	19993200	19993200
WZZ	WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.05565	246800	216366
WZ_pythia	WZ_TuneCUETP8M1_13TeV-pythia8	47.13	3997571	3997571
ZGTo2LG	ZGTo2LG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	117.864	16679840	11411568
ZZTo2L2Nu_powheg	ZZTo2L2Nu_13TeV_powheg_pythia8_ext1	1.	47678932	47678932
ZZTo2L2Q_amcatnlo	ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8	1.	15462693	9762305
ZZTo4L_powheg	ZZTo4L_13TeV_powheg_pythia8_ext1	1.	96451124	96451124
ZZZ	ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.01398	249237	213197
